timestamp,open,high,low,close,volume
2026-04-22,334.2900,338.0300,332.9600,337.7300,12926872
2026-04-21,335.5850,337.1700,329.6300,330.4700,14623836
2026-04-20,338.5600,339.1600,334.6300,335.4000,12897265
2026-04-17,334.4300,339.9850,333.2900,339.4000,19683848
2026-04-16,335.8500,337.3800,331.6501,332.7700,13949592
2026-04-15,330.5600,335.0000,328.6600,334.4700,15104096
2026-04-14,322.0650,330.6400,321.1500,330.5800,18557479
2026-04-13,315.4200,319.4300,313.6901,319.2100,12212807
2026-04-10,318.2250,319.5000,314.5400,315.7200,11997647
2026-04-09,313.1900,317.4300,309.4700,316.3700,14606751
2026-04-08,317.8300,319.3900,312.7050,314.7400,20887530
2026-04-07,300.1400,304.1000,295.4250,303.9300,17317708
2026-04-06,294.7000,298.4250,293.7900,297.6600,10121741
2026-04-02,288.9900,295.9000,287.5700,294.4600,13433366
2026-04-01,289.9800,297.9850,289.4700,294.9000,24403551
2026-03-31,277.5400,287.0500,276.7600,286.8600,31625057
2026-03-30,275.4400,276.2600,271.5350,273.1400,22752315
2026-03-27,277.4000,279.0900,273.4800,273.7600,25703300
2026-03-26,286.1900,286.5150,279.0500,280.7400,29281207
2026-03-25,292.1500,294.6600,287.3700,289.5900,22343018
2026-03-24,296.2100,297.1000,288.8550,289.2000,27411194
2026-03-23,300.5300,303.3700,298.0300,299.0200,22204112
2026-03-20,304.0700,304.3700,296.7500,298.7900,34763531
2026-03-19,303.2100,306.6800,301.0000,305.7300,15399724
2026-03-18,307.9050,310.7500,305.5450,306.3000,13848428
2026-03-17,304.6700,310.0500,304.3500,309.4100,14423553
2026-03-16,303.6000,305.5700,301.8100,304.4200,14822047
2026-03-13,306.6550,307.2600,299.7801,301.4600,16857533
2026-03-12,306.2100,308.6400,300.8400,303.2100,15610193
2026-03-11,306.3000,311.0690,305.8400,308.4200,13376677
2026-03-10,305.8750,309.1500,305.3100,306.9300,14386421
2026-03-09,294.1350,306.5000,293.9300,306.0100,19632738
2026-03-06,296.0720,300.3300,295.2500,298.3000,17598003
2026-03-05,303.2000,303.3700,298.0700,300.9100,22643883
2026-03-04,302.6850,305.4600,300.8000,303.4500,20015599
2026-03-03,298.4200,303.9400,296.6994,303.5600,20361131
2026-03-02,302.9650,308.1400,301.0600,306.3600,21854368
2026-02-27,303.9400,312.0800,303.5905,311.4300,33389206
2026-02-26,312.8050,313.0000,302.4100,307.1500,22379980
2026-02-25,312.1200,313.6600,309.3600,313.0300,20209083
2026-02-24,310.6400,312.3700,306.0900,310.9200,15040656
2026-02-23,319.1400,319.4550,309.9900,311.6900,17641176
2026-02-20,304.8000,316.7600,304.4200,314.9000,33663143
2026-02-19,302.5200,306.0300,300.6700,303.5600,13448627
2026-02-18,302.4320,305.9100,301.9800,303.9400,15847701
2026-02-17,300.6400,304.8900,296.9000,302.8200,23750758
2026-02-13,307.9850,308.8900,303.9000,306.0200,20235950
2026-02-12,312.3500,316.4800,308.1500,309.3700,28193962
2026-02-11,318.9600,321.0450,310.1300,311.3300,24008065
2026-02-10,320.9100,321.6300,314.6600,318.6300,25281932
2026-02-09,321.2400,327.7400,317.7000,324.4000,26103255
